L1,L2,C,R
4.586663e-09,5.102281e-10,1.018668e-12,5.000000e-01
4.998044e-09,4.201268e-10,1.078376e-12,5.000000e-01
5.000000e-09,5.948165e-10,7.317610e-13,5.000000e-01
4.951615e-09,4.623460e-10,1.036579e-12,5.000000e-01
2.089051e-09,1.003016e-10,4.758417e-13,5.000000e-01
5.000000e-09,3.927211e-10,9.423296e-13,5.000000e-01
5.000000e-09,4.321648e-10,8.096304e-13,5.000000e-01
3.734431e-09,5.542171e-10,1.089562e-12,5.000000e-01
3.590991e-09,6.236678e-10,7.703662e-13,5.000000e-01
5.000000e-09,2.931277e-10,1.770390e-12,5.000000e-01
3.009676e-09,6.249455e-10,1.513736e-12,5.000000e-01
5.000000e-09,2.924085e-10,9.209490e-13,5.000000e-01
2.918948e-09,4.229278e-10,9.388278e-13,5.000000e-01
3.767372e-09,5.573215e-10,9.181979e-13,5.000000e-01
4.899306e-09,4.382320e-10,1.014665e-12,5.000000e-01
2.659848e-09,6.876387e-10,9.689752e-13,5.000000e-01
4.919157e-09,5.353363e-10,1.155836e-12,5.000000e-01
4.005620e-09,4.309036e-10,1.158829e-12,5.000000e-01
3.746973e-09,5.792103e-10,1.215500e-12,5.000000e-01
3.106161e-09,5.355599e-10,1.061913e-12,5.000000e-01
3.802161e-09,5.395656e-10,1.083360e-12,5.000000e-01
5.000000e-09,6.405695e-10,1.295020e-12,5.000000e-01
4.786763e-09,1.223075e-10,8.736463e-13,5.000000e-01
5.000000e-09,3.290641e-10,8.525471e-13,5.000000e-01
4.456074e-09,5.027803e-10,8.610212e-13,5.000000e-01
1.767395e-09,4.089968e-10,4.707683e-13,5.000000e-01
2.939988e-09,5.441291e-10,8.822051e-13,5.000000e-01
2.641231e-09,1.001629e-10,5.819172e-13,5.000000e-01
4.375233e-09,4.974933e-10,8.762138e-13,5.000000e-01
4.512904e-09,4.760030e-10,6.775310e-13,5.000000e-01
3.482992e-09,4.659777e-10,1.081837e-12,5.000000e-01
4.958908e-09,3.473089e-10,6.874300e-13,5.000000e-01
5.000000e-09,1.116776e-10,8.323490e-13,5.000000e-01
2.813780e-09,6.944287e-10,1.401750e-12,5.000000e-01
3.669609e-09,3.557434e-10,8.656834e-13,5.000000e-01
4.970017e-09,1.922152e-10,7.935847e-13,5.000000e-01
2.859590e-09,6.953283e-10,1.635740e-12,5.000000e-01
5.000000e-09,5.431584e-10,2.350000e-12,5.000000e-01
4.998228e-09,1.331382e-10,6.787738e-13,5.000000e-01
4.640482e-09,5.264330e-10,6.772789e-13,5.000000e-01
3.190306e-09,5.944709e-10,1.095217e-12,5.000000e-01
5.000000e-09,3.977113e-10,8.715376e-13,5.000000e-01
3.670802e-09,5.902767e-10,9.701082e-13,5.000000e-01
5.000000e-09,2.765362e-10,7.218086e-13,5.000000e-01
3.076724e-09,4.337191e-10,1.614926e-12,5.000000e-01
4.775263e-09,4.199671e-10,8.784590e-13,5.000000e-01
2.194976e-09,1.004568e-10,4.794152e-13,5.000000e-01
3.425565e-09,4.399856e-10,1.565267e-12,5.000000e-01
4.164804e-09,1.893645e-10,1.588045e-12,5.000000e-01
5.000000e-09,1.666659e-10,8.874689e-13,5.000000e-01
4.117306e-09,5.703558e-10,8.424451e-13,5.000000e-01
5.000000e-09,1.939075e-10,6.875296e-13,5.000000e-01
5.000000e-09,3.431586e-10,1.133770e-12,5.000000e-01
2.987245e-09,1.031539e-10,2.262957e-12,5.000000e-01
4.279233e-09,4.708309e-10,8.109058e-13,5.000000e-01
2.802607e-09,4.700078e-10,1.029579e-12,5.000000e-01
5.000000e-09,1.055598e-10,7.032187e-13,5.000000e-01
5.000000e-09,3.972130e-10,7.313466e-13,5.000000e-01
5.000000e-10,2.459760e-10,4.700000e-13,5.000000e-01
5.000000e-09,1.071259e-10,7.849931e-13,5.000000e-01
5.000000e-09,3.635985e-10,7.678364e-13,5.000000e-01
4.905951e-09,3.928642e-10,1.054274e-12,5.000000e-01
5.000000e-09,3.022756e-10,7.207268e-13,5.000000e-01
5.000000e-09,1.175551e-10,8.458640e-13,5.000000e-01
4.055296e-09,3.172299e-10,7.885470e-13,5.000000e-01
5.000000e-09,4.395130e-10,9.171217e-13,5.000000e-01
5.271828e-10,1.000082e-10,4.701671e-13,5.000000e-01
2.654015e-09,7.856899e-10,1.492496e-12,5.000000e-01
3.083195e-09,6.713686e-10,5.660253e-13,5.000000e-01
5.000000e-09,3.853338e-10,1.047317e-12,5.000000e-01
4.307513e-09,5.302197e-10,8.414184e-13,5.000000e-01
5.000000e-09,2.796570e-10,8.822552e-13,5.000000e-01
3.822841e-09,5.997022e-10,8.654800e-13,5.000000e-01
3.095380e-09,6.139089e-10,8.722677e-13,5.000000e-01
5.000000e-09,3.751316e-10,9.332174e-13,5.000000e-01
2.395028e-09,1.869017e-09,2.246689e-12,5.000000e-01
5.000000e-09,9.892746e-10,2.350000e-12,5.000000e-01
5.000000e-09,3.073028e-10,7.507862e-13,5.000000e-01
5.000000e-09,8.101419e-10,2.348856e-12,5.000000e-01
5.000000e-09,3.932821e-10,7.884536e-13,5.000000e-01
5.000000e-09,2.561363e-10,8.064373e-13,5.000000e-01
5.000000e-09,5.553807e-10,9.249197e-13,5.000000e-01
3.474856e-09,5.403619e-10,9.130145e-13,5.000000e-01
5.000000e-09,4.488634e-10,7.598979e-13,5.000000e-01
5.000000e-09,4.446198e-10,8.900802e-13,5.000000e-01
2.474320e-09,1.124448e-10,6.568939e-13,5.000000e-01
3.321492e-09,7.633087e-10,1.300276e-12,5.000000e-01
5.000000e-09,1.748988e-10,6.377666e-13,5.000000e-01
5.000000e-09,1.684806e-10,2.350000e-12,5.000000e-01
5.000000e-09,1.817515e-10,5.634950e-13,5.000000e-01
3.693322e-09,5.484646e-10,8.976182e-13,5.000000e-01
5.000000e-09,4.229701e-10,7.530984e-13,5.000000e-01
4.966459e-09,4.799869e-10,8.435905e-13,5.000000e-01
5.000000e-09,5.694509e-10,6.364921e-13,5.000000e-01
5.000000e-09,1.731920e-10,1.066815e-12,5.000000e-01
5.000000e-09,2.831201e-10,1.125849e-12,5.000000e-01
5.000000e-09,4.552397e-10,7.580589e-13,5.000000e-01
3.151308e-09,5.613750e-10,8.083305e-13,5.000000e-01
4.168307e-09,5.281820e-10,9.353269e-13,5.000000e-01
2.808323e-09,6.538012e-10,9.886316e-13,5.000000e-01
2.994542e-09,7.775160e-10,9.598720e-13,5.000000e-01
4.632480e-09,4.110429e-10,7.460236e-13,5.000000e-01
2.947963e-09,1.094905e-09,2.349689e-12,5.000000e-01
3.020429e-09,5.711028e-10,9.395632e-13,5.000000e-01
5.000000e-09,2.230410e-10,8.595483e-13,5.000000e-01
5.000000e-09,1.529100e-10,1.448193e-12,5.000000e-01
5.000000e-09,3.322026e-10,6.756948e-13,5.000000e-01
5.000000e-09,3.521748e-10,8.734756e-13,5.000000e-01
5.000000e-09,4.506953e-10,8.088867e-13,5.000000e-01
5.000000e-09,5.230961e-10,5.960406e-13,5.000000e-01
3.121271e-09,6.763785e-10,8.312381e-13,5.000000e-01
4.275904e-09,4.205302e-10,1.266019e-12,5.000000e-01
5.000000e-09,2.637769e-10,6.522363e-13,5.000000e-01
3.713031e-09,4.148976e-10,8.388331e-13,5.000000e-01
5.000000e-09,2.949105e-10,7.457129e-13,5.000000e-01
5.000000e-09,3.423017e-10,9.854654e-13,5.000000e-01
5.000000e-10,1.917412e-09,2.350000e-12,5.000000e-01
3.603697e-09,5.854508e-10,9.510998e-13,5.000000e-01
5.000000e-09,4.190897e-10,9.285043e-13,5.000000e-01
4.011162e-09,6.398500e-10,1.248776e-12,5.000000e-01
5.000000e-09,4.621922e-10,5.672014e-13,5.000000e-01
5.000000e-09,1.039377e-10,9.101187e-13,5.000000e-01
3.482624e-09,5.673998e-10,7.839263e-13,5.000000e-01
3.268171e-09,4.922423e-10,1.035615e-12,5.000000e-01
5.000000e-09,2.167908e-10,9.128014e-13,5.000000e-01
5.000000e-09,4.759035e-10,7.258523e-13,5.000000e-01
3.648096e-09,4.356152e-10,1.796624e-12,5.000000e-01
5.000000e-09,1.012825e-10,8.428287e-13,5.000000e-01
5.000000e-09,2.515950e-10,8.399981e-13,5.000000e-01
5.000000e-09,2.845110e-10,2.310513e-12,5.000000e-01
3.258204e-09,4.758920e-10,9.921777e-13,5.000000e-01
5.000000e-09,4.499844e-10,8.503610e-13,5.000000e-01
3.882204e-09,4.989180e-10,1.153647e-12,5.000000e-01
5.000000e-09,2.926554e-10,6.736260e-13,5.000000e-01
5.000000e-09,3.556847e-10,9.818652e-13,5.000000e-01
5.000000e-09,3.118233e-10,8.699977e-13,5.000000e-01
4.999408e-09,4.808067e-10,1.066988e-12,5.000000e-01
5.000000e-09,2.348343e-10,8.370475e-13,5.000000e-01
3.180420e-09,6.864147e-10,1.319778e-12,5.000000e-01
5.000000e-10,1.000000e-10,2.169051e-12,5.000000e-01
5.000000e-09,4.273955e-10,1.010731e-12,5.000000e-01
4.827854e-09,2.314584e-10,4.700000e-13,5.000000e-01
5.000000e-09,4.510645e-10,8.650345e-13,5.000000e-01
2.663060e-09,1.000000e-10,4.700002e-13,5.000000e-01
5.000000e-09,3.852823e-10,8.100519e-13,5.000000e-01
5.000000e-09,3.097483e-10,9.283957e-13,5.000000e-01
3.680468e-09,5.966025e-10,7.070091e-13,5.000000e-01
3.550712e-09,1.404922e-09,2.343733e-12,5.000000e-01
4.699377e-09,5.851562e-10,5.958914e-13,5.000000e-01
3.280808e-09,6.001105e-10,1.069424e-12,5.000000e-01
5.000000e-09,4.672029e-10,5.996309e-13,5.000000e-01
5.000000e-09,4.990845e-10,1.142772e-12,5.000000e-01
5.000000e-09,4.328623e-10,6.877495e-13,5.000000e-01
5.000000e-09,4.095018e-10,7.175619e-13,5.000000e-01
5.000000e-09,1.854898e-10,8.917030e-13,5.000000e-01
4.085939e-09,6.136263e-10,7.883598e-13,5.000000e-01
5.000000e-09,4.705602e-10,8.749012e-13,5.000000e-01
1.777548e-09,1.463542e-09,4.714352e-13,5.000000e-01
5.000000e-09,3.770223e-10,8.806806e-13,5.000000e-01
4.522248e-09,5.132726e-10,1.262427e-12,5.000000e-01
5.000000e-09,2.015549e-10,9.859927e-13,5.000000e-01
5.000000e-09,4.042089e-10,7.718364e-13,5.000000e-01
3.192778e-09,2.827662e-10,9.737576e-13,5.000000e-01
5.000000e-09,4.598691e-10,6.503807e-13,5.000000e-01
5.000000e-09,1.546376e-10,7.918146e-13,5.000000e-01
3.603091e-09,7.197456e-10,1.423303e-12,5.000000e-01
2.917680e-09,6.176507e-10,1.042287e-12,5.000000e-01
5.000000e-09,3.462829e-10,7.955714e-13,5.000000e-01
5.000000e-09,4.270786e-10,8.112023e-13,5.000000e-01
4.932480e-09,4.995770e-10,6.020290e-13,5.000000e-01
5.000000e-09,2.944357e-10,7.903664e-13,5.000000e-01
2.971321e-09,3.442046e-10,1.104892e-12,5.000000e-01
4.115431e-09,4.075626e-10,6.692353e-13,5.000000e-01
3.536569e-09,2.006819e-10,8.205243e-13,5.000000e-01
5.000000e-09,4.007564e-10,8.058713e-13,5.000000e-01
3.360499e-09,6.701594e-10,1.322923e-12,5.000000e-01
4.488930e-09,4.915545e-10,1.181382e-12,5.000000e-01
5.000000e-09,4.067502e-10,1.172022e-12,5.000000e-01
4.019867e-09,5.130532e-10,8.773132e-13,5.000000e-01
3.914778e-09,5.571638e-10,6.314162e-13,5.000000e-01
4.639608e-09,4.940254e-10,8.232643e-13,5.000000e-01
5.000000e-09,1.028421e-10,7.392378e-13,5.000000e-01
3.672712e-09,6.068509e-10,8.616137e-13,5.000000e-01
3.210608e-09,6.071920e-10,1.257934e-12,5.000000e-01
